Lab Name,Day,Start,End
001L,3,8:00,9:50
002L,3,10:00,11:50
003L,3,15:15,17:05
004L,3,17:15,19:05
005L,3,17:15,19:05
006L,3,9:15,11:05
007L,3,11:15,13:05
011L,3,13:15,15:05
012L,3,8:00,9:50
013L,5,12:00,13:50
014L,5,14:30,16:20
015L,5,10:00,11:50
016L,5,10:00,11:50
017L,5,12:00,13:50
018L,5,14:00,15:50
019L,5,14:30,16:20
021L,2,10:00,11:50
022L,2,12:00,13:50
023L,2,14:00,15:50
024L,3,10:00,11:50
025L,2,16:00,17:50
026L,4,16:00,17:50
027L,4,14:00,15:50
028L,4,15:00,16:50
031L,4,10:00,11:50
032L,4,10:00,11:50
033L,4,12:00,13:50
034L,4,13:00,14:50
035L,4,17:00,18:30
036L,4,13:00,14:50
037L,4,15:00,16:50
038L,4,17:00,18:50
041L,2,10:00,11:50
042L,2,13:00,14:50
043L,2,15:00,16:50
044L,2,17:00,18:50
051L,2,10:00,11:50
052L,2,13:00,14:50
053L,2,15:00,16:50
054L,2,17:00,18:50
