Event,Max # Students,Times
Circuit,2,8:30-9:20
Dynamic,2,8:30-9:21
Water,2,8:30-9:20
Experimental,3,8:30-9:20
Chemistry,2,9:35-10:25
Machines,2,9:35-10:25
Disease,2,9:35-10:25
Astronomy,2,10:40-11:30
Entomology,2,10:40-11:30
Codebusters,3,11:45-12:35
Remote,2,11:45-12:35
Anatomy,2,12:50-1:40
CAD,2,12:50-1:40
Forensics,2,12:50-1:40
Designer,2,1:55-2:45
Materials,2,1:55-2:45
Rocks,2,1:55-2:45
Boomilever,2,N/A
Bungee,2,N/A
Helicopter,2,N/A
Hovercraft,2,N/A
Robot,2,N/A
Electric,2,N/A
